iter	Passed	Remaining
0	56	11157
1	56	5596
2	57	3744
3	57	2813
4	57	2261
5	58	1889
6	58	1620
7	59	1417
8	59	1260
9	59	1134
10	60	1032
11	60	946
12	60	873
13	61	811
14	61	755
15	61	707
16	61	665
17	62	628
18	62	595
19	62	565
20	64	546
21	64	522
22	64	499
23	65	478
24	65	458
25	65	440
26	66	424
27	66	409
28	67	395
29	67	381
30	67	368
31	68	357
32	68	346
33	68	336
34	69	325
35	69	316
36	69	307
37	70	298
38	70	291
39	71	284
40	71	277
41	71	270
42	72	263
43	72	257
44	73	252
45	73	246
46	73	240
47	74	235
48	74	230
49	75	225
50	75	220
51	75	216
52	76	211
53	76	207
54	77	203
55	77	199
56	77	195
57	78	191
58	78	188
59	79	185
60	79	181
61	80	178
62	80	175
63	80	171
64	81	168
65	81	165
66	81	162
67	82	159
68	82	156
69	82	153
70	83	151
71	83	148
72	84	146
73	84	143
74	84	141
75	85	139
76	85	137
77	86	134
78	86	132
79	87	130
80	87	128
81	87	126
82	88	124
83	88	122
84	89	120
85	89	118
86	90	117
87	90	115
88	90	113
89	91	111
90	91	109
91	92	108
92	92	106
93	92	104
94	93	102
95	93	101
96	93	99
97	94	98
98	95	96
99	95	95
100	95	94
101	96	92
102	96	91
103	97	89
104	97	88
105	98	86
106	98	85
107	98	84
108	99	82
109	99	81
110	99	79
111	100	78
112	100	77
113	100	76
114	101	74
115	101	73
116	102	72
117	102	71
118	103	70
119	103	69
120	104	68
121	104	66
122	104	65
123	105	64
124	105	63
125	105	62
126	106	60
127	106	59
128	106	58
129	107	57
130	107	56
131	107	55
132	108	54
133	108	53
134	108	52
135	109	51
136	109	50
137	110	49
138	111	48
139	112	48
140	112	47
141	113	46
142	113	45
143	113	44
144	114	43
145	114	42
146	114	41
147	115	40
148	115	39
149	115	38
150	115	37
151	116	36
152	116	35
153	116	34
154	117	34
155	117	33
156	118	32
157	118	31
158	119	30
159	119	29
160	119	29
161	120	28
162	120	27
163	120	26
164	121	25
165	121	24
166	122	24
167	122	23
168	122	22
169	123	21
170	123	20
171	123	20
172	124	19
173	124	18
174	124	17
175	125	17
176	125	16
177	126	15
178	126	14
179	126	14
180	127	13
181	127	12
182	128	11
183	128	11
184	128	10
185	129	9
186	129	8
187	129	8
188	130	7
189	130	6
190	130	6
191	131	5
192	131	4
193	131	4
194	132	3
195	132	2
196	132	2
197	133	1
198	133	0
199	134	0
